departure time,2010,2020
12.00-4.59am,0.20,0.26
5.00-5.29am,0.18,0.20
5.30-5.59am,0.19,0.19
6.00-6.29am,0.38,0.38
6.30-6.59am,0.35,0.32
7.00am-7.29m,0.60,0.61
7.30-7.59am,0.43,0.39
8.00-8.29am,0.52,0.57
8.30-8.59am,0.26,0.27
9.00-9.59am,0.36,0.42
10.00-10.59am,0.16,0.18
11.00am-11.59am,0.07,0.74
12.00-3.59pm,0.27,0.29
4.00-11.59pm,0.24,0.24
