Year,population,total Commuters,autotrips,drove alone,carpooled,public transportation (exclude taxi),bus,streetcar,subway,railroad,slow traffic,less than 5mins,5-9mins,10-14mins,15-19mins,20-24mins,25-29mins,30-34mins,35-39mins,40-44mins,45-59mins,60-89mins,90 or more mins,12.00-4.59am,5.00-5.29am,5.30-5.59am,6.00-6.29am,6.30-6.59am,7.00am-7.29m,7.30-7.59am,8.00-8.29am,8.30-8.59am,9.00-9.59am,10.00-10.59am,11.00am-11.59am,12.00-3.59pm,4.00-11.59pm
2010,8175133,8815965,5431196,4770901,651743,2338345,579786,14033,1493468,241769,597454,234055,702501,977147,1041053,1070610,438896,1171560,228229,392960,849624,963183,407200,236074,216692,302862,640042,741116,1248513,1068137,1206449,652266,679404,276555,128706,568028,512174
2020,8804190,9219025,5422606,4822623,592921,2418334,495096,_,1659163,249959,615099,196575,614736,872582,1001852,1022959,487710,1188182,268599,444362,944341,1050330,492600,288216,253990,311082,656885,712497,1230354,990568,1230894,653568,752007,292984,134187,575209,502387
