Year,population,total Commuters,autotrips,drove alone,carpooled,public transportation (exclude taxi),bus,streetcar,subway,railroad,slow traffic,less than 5mins,5-9mins,10-14mins,15-19mins,20-24mins,25-29mins,30-34mins,35-39mins,40-44mins,45-59mins,60-89mins,90 or more mins,12.00-4.59am,5.00-5.29am,5.30-5.59am,6.00-6.29am,6.30-6.59am,7.00am-7.29m,7.30-7.59am,8.00-8.29am,8.30-8.59am,9.00-9.59am,10.00-10.59am,11.00am-11.59am,12.00-3.59pm,4.00-11.59pm
2010,9818605,4068250,3556055,3082024,464076,308797,279341,3282,17520,8365,161240,68759,296411,488395,589273,598255,231165,726722,115460,200135,392064,364470,127780,204024,179241,188278,381218,347269,598802,429757,518485,256107,363335,160260,65648,270235,236230
2020,10014009,4780680,3913108,3449024,453223,257977,213338,4982,27072,11261,156134,52123,237856,444776,588505,587355,242364,772733,128104,227172,474382,466067,174795,259026,199675,187008,383127,316481,608318,393104,570694,272470,419201,177204,73523,293065,243336
