commute time,2010,2020
less than 5mins,0.07,0.05
5-9mins,0.30,0.24
10-14mins,0.49,0.44
15-19mins,0.59,0.59
20-24mins,0.60,0.59
25-29mins,0.23,0.24
30-34mins,0.73,0.77
35-39mins,0.12,0.13
40-44mins,0.20,0.23
45-59mins,0.39,0.47
60-89mins,0.36,0.47
90 or more mins,0.13,0.17
